Account,total_pnl,avg_daily_pnl,pnl_std,avg_win_rate,avg_trades_per_day,avg_trade_size_usd,size_segment,activity_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1474579.703239,77609.45806521052,167976.00996148295,0.3064719369052418,178.78947368421052,27762.85738870849,Large Traders,Frequent Traders,Inconsistent Traders
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,59818.400639,1272.7319284893617,3194.021986786766,0.40857901646183453,139.5744680851064,4610.545874185331,Small Traders,Frequent Traders,Consistent Traders
0x271b280974205ca63b716753467d5a371de622ab,-51397.85075699999,-5139.7850757,36625.74338240863,0.4559425202331092,321.0,11850.43300630483,Large Traders,Frequent Traders,Consistent Traders
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,126959.06519,926.7085050364963,3242.006542782016,0.4459855826265854,90.68613138686132,460.15920216606486,Small Traders,Frequent Traders,Consistent Traders
0x2c229d22b100a7beb69122eed721cee9b24011dd,126365.161918,2071.560031442623,3977.3878670352883,0.4901094550232732,36.459016393442624,2486.135214794749,Small Traders,Infrequent Traders,Consistent Traders
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-29974.692881999996,-810.1268346486486,10908.944879505383,0.2283038738796453,21.135135135135137,1764.502480704279,Small Traders,Infrequent Traders,Inconsistent Traders
0x39cef799f8b69da1995852eea189df24eb5cae3c,3503.671375999996,87.59178439999991,15638.948451871118,0.35336597098409617,82.925,29236.782384331927,Large Traders,Frequent Traders,Consistent Traders
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45477.084147,1749.1186210384617,5860.574107020638,0.45358391608391607,12.692307692307692,8115.9637287670175,Large Traders,Infrequent Traders,Consistent Traders
0x420ab45e0bd8863569a5efbb9c05d91f40624641,125211.929227,7365.407601588236,15342.833642563328,0.4470106075216972,19.705882352941178,8966.708070886649,Large Traders,Infrequent Traders,Consistent Traders
0x430f09841d65beb3f27765503d0f850b8bce7713,357580.49261099997,15546.977939608694,35499.63435543006,0.18513323983169705,47.95652173913044,2576.5852190229866,Small Traders,Infrequent Traders,Inconsistent Traders
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,99314.47447300001,841.6480887542374,2727.95796984093,0.3438079737040694,66.63559322033899,528.2746628204452,Small Traders,Frequent Traders,Inconsistent Traders
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,580366.959712,11844.223667591836,26697.694757669222,0.40842433441534015,75.18367346938776,17774.31806894655,Large Traders,Frequent Traders,Consistent Traders
0x4f93fead39b70a1824f981a54d4e55b278e9f760,263461.546495,975.7835055370371,7701.817498570089,0.28729569177062103,23.35925925925926,16014.012631360021,Large Traders,Infrequent Traders,Inconsistent Traders
0x513b8629fe877bb581bf244e326a047b249c4ff1,459092.06116599997,14346.626911437499,31452.522069209917,0.2718439501689833,303.71875,28580.860422511505,Large Traders,Frequent Traders,Inconsistent Traders
0x6d6a4b953f202f8df5bed40692e7fd865318264a,107473.095849,2558.8832345,7874.812878033853,0.35526702775972047,21.761904761904763,884.3349107442327,Small Traders,Infrequent Traders,Consistent Traders
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,23853.086995277776,82348.27037081402,0.21464849283015766,83.94444444444444,9813.157487984416,Large Traders,Frequent Traders,Inconsistent Traders
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,365066.208498,6637.567427236363,25319.924402160348,0.25238578153338365,24.854545454545455,4887.947365485771,Large Traders,Infrequent Traders,Inconsistent Traders
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,381701.363182,3103.263115300813,4574.927493359259,0.7344321170747419,68.52845528455285,3575.2588971912032,Small Traders,Frequent Traders,Consistent Traders
